kanji,jlpt,onyomi,kunyomi,meanings
節,N1,"setsu
sechi セツ
セチ","fushi
-bushi
notto ふし
-ぶし
のっと","node, season, period, occasion, verse, clause, stanza, honor, joint, knuckle, knob, knot, tune, melody"
需,N1,ju ジュ,,"demand, request, need"
射,N1,sha シャ,"i(ru)
sa(su)
u(tsu) い(る)
さ(す)
う(つ)","shoot, shine into, onto, archery"
購,N1,kou コウ,,"subscription, buy"
揮,N1,ki キ,furu(u) ふる(う),"brandish, wave, wag, swing, shake"
充,N1,juu ジュウ,"a(teru)
mi(tasu) あ(てる)
み(たす)","allot, fill"
貢,N1,"kou
ku コウ
ク",mitsu(gu) みつ(ぐ),"tribute, support, finance"
鹿,N1,roku ロク,"shika
ka しか
か",deer
却,N1,kyaku キャク,"kae(tte)
shirizo(ku) かえ(って)
しりぞ(く)","instead, on the contrary, rather, step back, withdraw, retreat"
端,N1,tan タン,"hashi
ha
hata
-bata
hana はし
は
はた
-ばた
はな","edge, origin, end, point, border, verge, cape"
賃,N1,chin チン,,"fare, fee, hire, rent, wages, charge"
獲,N1,kaku カク,e(ru) え(る),"seize, get, find, earn, acquire, can, may, able to"
郡,N1,gun グン,koori こおり,"county, district"
併,N1,hei ヘイ,awa(seru) あわ(せる),"join, get together, unite, collective"
徹,N1,tetsu テツ,,"penetrate, clear, pierce, strike home, sit up (all night)"
貴,N1,ki キ,"tatto(i)
touto(i) たっと(い)
とうと(い)","precious, value, prize, esteem, honor"
埼,N1,ki キ,"saki
sai
misaki さき
さい
みさき","cape, spit, promontory"
衝,N1,shou ショウ,tsu(ku) つ(く),"collide, brunt, highway, opposition (astronomy), thrust, pierce, stab, prick"
焦,N1,shou ショウ,"ko(geru)
ase(ru)
ji(reru) こ(げる)
あせ(る)
じ(れる)","char, hurry, impatient, irritate, burn, scorch, singe"
奪,N1,datsu ダツ,uba(u) うば(う),"rob, take by force, snatch away, dispossess, plunder, usurp"
災,N1,sai サイ,wazawa(i) わざわ(い),"disaster, calamity, woe, curse, evil"
浦,N1,ho ホ,ura うら,"bay, creek, inlet, gulf, beach, seacoast"
析,N1,seki セキ,,"chop, divide, tear, analyze"
譲,N1,jou ジョウ,yuzu(ru) ゆず(る),"defer, turnover, transfer, convey"
称,N1,shou ショウ,"tata(eru)
tona(eru)
a(geru)
kana(u)
haka(ri)
home(ru) たた(える)
とな(える)
あ(げる)
かな(う)
はか(り)
ほめ(る)","appellation, praise, admire, name, title, fame"
納,N1,"nou
natsu
na
nan
tou ノウ
ナッ
ナ
ナン
トウ","osa(meru)
-osa(meru) おさ(める)
-おさ(める)","settlement, obtain, reap, pay, supply, store"
