kanji,jlpt,onyomi,kunyomi,meanings
腰,N2,you ヨウ,koshi こし,loins; hips; waist
炭,N2,tan タン,sumi すみ,charcoal; coal
踊,N2,you ヨウ,odo(ru) おど(る),jump; dance; leap; skip
冊,N2,satsu サツ,fumi ふみ,counter for books; volume
勇,N2,yuu ユウ,isa(mu) いさ(む),courage; cheer up; bravery; heroism
械,N2,kai カイ,kase かせ,contraption; machine; instrument
菜,N2,sai サイ,na な,vegetable; side dish; greens
珍,N2,chin チン,mezura(shii) めずら(しい),rare; curious; strange
卵,N2,ran ラン,tamago たまご,egg
湖,N2,ko コ,mizuumi みずうみ,lake
喫,N2,kitsu キツ,no(mu) の(む),"consume, eat, drink, smoke, receive"
干,N2,kan カン,"ho(su)
hi(ru) ほ(す)
ひ(る)",dry; parch
虫,N2,"chuu
ki チュウ
キ",mushi むし,insect; bug
刷,N2,satsu サツ,"su(ru)
ha(ku) す(る)
は(く)",printing; print; brush
湯,N2,tou トウ,yu ゆ,hot water; bath; hot spring
溶,N2,you ヨウ,to(keru) と(ける),melt; dissolve; thaw
鉱,N2,kou コウ,aragane あらがね,mineral; ore
涙,N2,rui ルイ,namida なみだ,tears; sympathy
匹,N2,hitsu ヒツ,hiki ひき,counter for small animals
孫,N2,son ソン,mago まご,grandchild; descendants
鋭,N2,ei エイ,surudo(i) するど(い),pointed; sharpness; edge; weapon; sharp; violent
枝,N2,shi シ,eda えだ,bough; branch; twig; limb; counter for branches
塗,N2,to ト,"nu(ru)
nu(ri) ぬ(る)
ぬ(り)",paint; smear; coating
軒,N2,ken ケン,noki のき,flats; counter for houses
毒,N2,doku ドク,,poison; germ; harm
叫,N2,kyou キョウ,sake(bu) さけ(ぶ),shout; exclaim; yell
拝,N2,hai ハイ,oga(mu) おが(む),worship; adore; pray to
氷,N2,hyou ヒョウ,"koori
hi こおり
ひ",ice; hail; freeze
乾,N2,kan カン,kawa(ku) かわ(く),drought; dry; drink up; heaven
棒,N2,bou ボウ,,rod; stick; cane; pole
祈,N2,ki キ,ino(ru) いの(る),pray; wish
拾,N2,shuu シュウ,hiro(u) ひろ(う),pick up; gather; find
粉,N2,fun フン,"ko
kona こ
こな",flour; powder; dust
糸,N2,shi シ,ito いと,thread
綿,N2,men メン,wata わた,cotton
汗,N2,kan カン,ase あせ,sweat; perspire
銅,N2,dou ドウ,akagane あかがね,copper
湿,N2,shitsu シツ,shime(ru) しめ(る),damp; wet; moist
瓶,N2,bin ビン,"kame
hei かめ
へい",bottle; jar; jug; urn
咲,N2,shou ショウ,sa(ku) さ(く),blossom; bloom
召,N2,shou ショウ,me(su) め(す),"call; send for; wear; buy, to eat, to drink"
缶,N2,kan カン,kama かま,tin can; container
隻,N2,seki セキ,,vessels; counter for ships; fish; one of a pair
脂,N2,shi シ,abura あぶら,fat; grease; lard
蒸,N2,"jou
sei ジョウ
セイ",mu(su) む(す),steam; heat; foment
肌,N2,ki キ,hada はだ,texture; skin; body; grain
耕,N2,kou コウ,tagaya(su) たがや(す),till; plow; cultivate
鈍,N2,don ドン,"nibu(i)
namaku(ra) にぶ(い)
なまく(ら)",dull; slow; foolish; blunt
泥,N2,dei デイ,doro どろ,mud; adhere to; be attached to
隅,N2,guu グウ,sumi すみ,corner; nook
灯,N2,tou トウ,"hi
tomo(su) ひ
とも(す)",lamp; a light; counter for lights
辛,N2,shin シン,"kara(i)
tsura(i) から(い)
つら(い)",spicy; hot
磨,N2,ma マ,miga(ku) みが(く),grind; polish; improve; brush (teeth)
麦,N2,baku バク,mugi むぎ,barley; wheat
姓,N2,"sei
shou セイ
ショウ",,surname
筒,N2,tou トウ,tsutsu つつ,cylinder; pipe; tube
鼻,N2,bi ビ,hana はな,nose; snout
粒,N2,ryuu リュウ,tsubu つぶ,grains; drop; counter for tiny particles
詞,N2,shi シ,kotoba ことば,part of speech; words
胃,N2,i イ,,stomach; crop
畳,N2,"jou
chou ジョウ
チョウ",tatami たたみ,tatami mat; fold
机,N2,ki キ,tsukue つくえ,desk; table
膚,N2,fu フ,hada はだ,skin; body; texture
濯,N2,taku タク,susu(gu) すす(ぐ),laundry; wash; rinse
塔,N2,tou トウ,,pagoda; tower; steeple
沸,N2,futsu フツ,wa(ku) わ(く),seethe; boil; ferment
灰,N2,kai カイ,hai はい,ashes; cremate
菓,N2,ka カ,,candy; cakes; fruit
帽,N2,bou ボウ,"ずきん
おお(う)",cap; headgear
枯,N2,ko コ,ka(reru) か(れる),wither; die; dry up; be seasoned
涼,N2,ryou リョウ,suzu(shii) すず(しい),refreshing; nice and cool
舟,N2,shuu シュウ,fune ふね,boat; ship
貝,N2,bai バイ,kai かい,shellfish
符,N2,fu フ,,token; sign; mark
憎,N2,zou ゾウ,niku(mu) にく(む),hate; detest
皿,N2,bei ベイ,"sara
zara さら
ざら",dish; a helping; plate
肯,N2,kou コウ,gaenji(ru) がえんじ(る),agreement; consent; comply with
燥,N2,sou ソウ,hasha(gu) はしゃ(ぐ),parch; dry up
畜,N2,chiku チク,,livestock; domestic fowl and animals
坊,N2,"bou
bo ボウ
ボッ",,"boy, priest"
挟,N2,kyou キョウ,hasa(mu) はさ(む),pinch; between
曇,N2,don ドン,kumo(ru) くも(る),cloudy weather
滴,N2,teki テキ,"shizuku
shitata(ru) しずく
したた(る)",drip; drop
伺,N2,shi シ,ukaga(u) うかが(う),visit; ask; inquire; question
政,N3,sei セイ,matsurigoto まつりごと,"politics, government"
議,N3,gi ギ,,"deliberation, consultation, debate"
民,N3,min ミン,tami たみ,"people, nation, subjects"
連,N3,ren レン,"tsura(naru)
tsu(reru) つら(なる)
つ(れる)","take along, lead, join, connect"
対,N3,"tai
tsui タイ
ツイ",,"opposite, even, equal, versus, anti-, compare"
部,N3,bu ブ,,"section, bureau, dept, class, copy, part, portion"
合,N3,"gou
ga
ka ゴウ
ガッ
カッ","a(u)
ai あ(う)
あい","fit, suit, join, 0.1"
市,N3,shi シ,ichi いち,"market, city, town"
内,N3,nai ナイ,uchi うち,"inside, within, between, among, house, home"
相,N3,"sou
shou ソウ
ショウ",ai あい,"inter-, mutual, together, each other, minister of state"
定,N3,"tei
jou テイ
ジョウ",sada(meru) さだ(める),"determine, fix, establish, decide"
回,N3,kai カイ,mawa(su) まわ(す),"-times, round, revolve, counter"
選,N3,sen セン,era(bu) えら(ぶ),"elect, select, choose, prefer"
米,N3,"bei
mai
meetoru ベイ
マイ
メエトル",kome こめ,"rice, USA, meter"
実,N3,jitsu ジツ,"mi
mino(ru) み
みの(る)","reality, truth"
関,N3,kan カン,"seki
kaka(waru) せき
かか(わる)","connection, barrier, gateway, involve, concerning"
決,N3,ketsu ケツ,ki(meru) き(める),"decide, fix, agree upon, appoint"
全,N3,zen ゼン,"matta(ku)
sube(te) まった(く)
すべ(て)","whole, entire, all, complete, fulfill"
表,N3,hyou ヒョウ,"omote
arawa(su) おもて
あらわ(す)","surface, table, chart, diagram"
戦,N3,sen セン,"ikusa
tataka(u) いくさ
たたか(う)","war, battle, match"
経,N3,kei ケイ,"he(ru)
ta(tsu) へ(る)
た(つ)","longitude, pass thru, expire, warp"
最,N3,sai サイ,motto(mo) もっと(も),"utmost, most, extreme"
現,N3,gen ゲン,"arawa(reru)
utsu(tsu) あらわ(れる)
うつ(つ)","present, existing, actual"
調,N3,chou チョウ,"shira(beru)
tono(u) しら(べる)
ととの(う)","tune, tone, meter, prepare, investigate"
化,N3,"ka
ke カ
ケ","ba(keru)
fu(keru) ば(ける)
ふ(ける)","change, take the form of, influence, enchant, delude, -ization"
当,N3,tou トウ,a(taru) あ(たる),"hit, right, appropriate"
約,N3,yaku ヤク,tsuzu(maru) つづ(まる),"promise, approximately, shrink"
首,N3,shu シュ,kubi くび,neck
法,N3,hou ホウ,nori のり,"method, law, rule, principle, model, system"
性,N3,"sei
shou セイ
ショウ",,"sex, gender, nature"
的,N3,teki テキ,,"mark, target, object, adjective ending"
要,N3,you ヨウ,"i(ru)
kaname い(る)
かなめ","need, main point, essence, pivot"
制,N3,sei セイ,,"system, law, rule"
治,N3,"ji
chi ジ
チ","nasa(meru)
nao(ru) おさ(める)
なお(る)","reign, cure, heal"
務,N3,mu ム,tsuto(meru) つと(める),"task, duties"
成,N3,"sei
jou セイ
ジョウ",na(ru) な(る),"turn into, become, get, grow, elapse"
期,N3,"ki
go キ
ゴ",,"period, time, date, term"
取,N3,shu シュ,to(ru) と(る),"take, fetch"
都,N3,"to
tsu ト
ツ",miyako みやこ,"metropolis, capital"
和,N3,"wa
o ワ
オ","yawa(ragu)
nago(mu) やわ(らぐ)
なご(む)","harmony, Japanese style, peace"
機,N3,ki キ,hata はた,"machine, airplane, opportunity"
平,N3,"hei
byou ヘイ
ビョウ","tai(ra)
hira たい(ら)
ひら","even, flat, peace"
加,N3,ka カ,kuwa(eru) くわ(える),"add, addition, increase, join"
受,N3,ju ジュ,u(keru) う(ける),"accept, undergo, answer (phone), take"
続,N3,zoku ゾク,tsuzuku つづ(く),"continue, series, sequel"
進,N3,shin シン,susu(mu) すす(む),"advance, proceed"
数,N3,suu スウ,"kazu
kazo(eru) かず
かぞ(える)","number, strength, fate, law, figures"
記,N3,ki キ,shiru(su) しる(す),"scribe, account, narrative"
初,N3,sho ショ,"haji(me)
hatsu はじ(め)
はつ","first time, beginning"
指,N3,shi シ,"yubi
sa(su) ゆび
さ(す)","finger, point to, indicate"
権,N3,ken ケン,,"authority, power, rights"
支,N3,shi シ,sasa(eru) ささ(える),"branch, support, sustain"
産,N3,san サン,"u(mu)
mu(su) う(む)
む(す)","products, bear, give birth"
点,N3,ten テン,tsu(keru) つ(ける),"spot, point, mark"
報,N3,hou ホウ,mukku(iru) むく(いる),"report, news, reward"
済,N3,"sai
sei サイ
セイ",su(mu) す(む),"settle, relieve, finish"
活,N3,katsu カツ,,living
原,N3,gen ゲン,hara はら,"original, primitive, field"
共,N3,kyou キョウ,tomo とも,"together, both, neither"
得,N3,toku トク,e(ru) え(る),"gain, get, find, earn, acquire, can, may, able to, profit"
解,N3,"kai
ge カイ
ゲ","to(ku)
hodo(ku) と(く)
ほど(く)","unravel, explanation"
交,N3,kou コウ,"maji(waru)
ma(zeru)
ka(wasu) まじ(わる)
ま(ぜる)
か(わす)","mingle, mixing, association, coming & going"
資,N3,shi シ,,"assets, resources, capital, funds, data, be conducive to"
予,N3,"yo
sha ヨ
シャ",arakaji(me) あらかじ(め),"beforehand, previous, myself, I"
向,N3,kou コウ,"mu(ku)
muka(i) む(く)
むか(い)","facing, beyond"
際,N3,sai サイ,kiwa きわ,"occasion, time"
勝,N3,shou ショウ,"ka(tsu)
masa(ru) か(つ)
まさ(る)","victory, win"
面,N3,men メン,"omo
omote
tsura おも
おもて
つら","mask, face, features, surface"
告,N3,koku コク,tsu(geru) つ(げる),"revelation, inform"
反,N3,han ハン,so(ru) そ(る),anti-
判,N3,han ハン,,"judgement, signature"
認,N3,nin ニン,"mito(meru)
shitata(meru) みと(める)
したた(める)","acknowledge, witness, recognize"
参,N3,san サン,mai(ru) まい(る),"going, coming, participate"
利,N3,ri リ,ki(ku) き(く),"profit, advantage, benefit"
組,N3,so ソ,"ku(mu)
kumi く(む)
くみ","association, assemble, unite"
信,N3,shin シン,,"faith, truth, trust"
在,N3,zai ザイ,a(ru) あ(る),"exist, outskirts"
件,N3,ken ケン,kudan くだん,"affair, case, matter"
側,N3,soku ソク,"gawa
soba がわ
そば","side, lean, oppose"
任,N3,nin ニン,maka(seru) まか(せる),"responsibility, duty"
引,N3,in イン,hi(ku) ひ(く),"pull, tug, jerk"
求,N3,kyuu キュウ,moto(meru) もと(める),"request, want, demand"
所,N3,sho ショ,tokoro ところ,"place, extent"
次,N3,"ji
shi ジ
シ","tsu(gu)
tsugi つ(ぐ)
つぎ","next, order"
昨,N3,saku サク,,"yesterday, previous"
論,N3,ron ロン,agetsura(u) あげつら(う),"argument, discourse"
官,N3,kan カン,,"bureaucrat, the government, organ"
増,N3,zou ゾウ,"ma(su)
fu(eru) ま(す)
ふ(える)","increase, add"
係,N3,kei ケイ,"kaka(ru)
kakari かか(る)
かかり","person in charge, connection"
感,N3,kan カン,,"emotion, feeling, sensation"
情,N3,"jou
sei ジョウ
セイ",nasa(ke) なさ(け),"feelings, emotion, passion"
投,N3,tou トウ,na(geru) な(げる),"throw, discard"
示,N3,"ji
shi ジ
シ",shime(su) しめ(す),"show, indicate, display"
変,N3,hen ヘン,ka(waru) か(わる),"unusual, change, strange"
打,N3,da ダ,"u(tsu)
bu(tsu) う(つ)
ぶ(つ)","strike, hit, knock"
直,N3,"choku
jiki チョク
ジキ","tada(chini)
su(gu) ただ(ちに)
す(ぐ)","straightaway, honesty, frankness, fix, repair"
両,N3,ryou リョウ,,both
式,N3,shiki シキ,,"style, ceremony"
確,N3,kaku カク,tashi(ka) たし(か),"assurance, firm, confirm"
果,N3,ka カ,ha(tasu) は(たす),"fruit, reward, carry out, achieve, complete"
容,N3,you ヨウ,,"contain, form"
必,N3,hitsu ヒツ,kanara(zu) かなら(ず),"invariably, certain, inevitable"
演,N3,en エン,,"performance, act, play, render, stage"
歳,N3,"sai
sei サイ
セイ",,"age, year-end"
争,N3,sou ソウ,araso(u) あらそ(う),"contend, dispute, argue"
談,N3,dan ダン,,"discuss, talk"
能,N3,nou ノウ,ata(u) あた(う),"ability, talent, skill, capacity"
位,N3,i イ,"kurai
gurai くらい
ぐらい","rank, grade, about"
置,N3,chi チ,o(ku) お(く),"placement, put, set, deposit, leave behind"
流,N3,"ryuu
ru リュウ
ル",naga(reru) なが(れる),"current, flow"
格,N3,"kaku
kou
kyaku カク
コウ
キャク",,"status, rank, capacity"
疑,N3,gi ギ,utaga(u) うたが(う),"doubt, distrust"
過,N3,ka カ,"su(giru)
yogi(ru) す(ぎる)
よぎ(る)","overdo, exceed, go beyond"
局,N3,kyoku キョク,,"bureau, board, office"
放,N3,hou ホウ,"hana(su)
hou(ru) はな(す)
ほう(る)","set free, release"
常,N3,jou ジョウ,tsune つね,"usual, ordinary, normal"
状,N3,jou ジョウ,,"conditions, form, appearance"
球,N3,kyuu キュウ,tama たま,"ball, sphere"
職,N3,shoku ショク,,"post, employment, work"
与,N3,yo ヨ,"ata(eru)
azuka(ru) あた(える)
あずか(る)","give, award"
供,N3,"kyou
ku
kuu キョウ
ク
クウ","sona(eru)
tomo そな(える)
とも","submit, offer, present, accompany"
役,N3,"yaku
eki ヤク
エキ",,"duty, service, role"
構,N3,kou コウ,kama(u) かま(う),"posture, build, pretend"
割,N3,katsu カツ,"wa(ru)
wari わ(る)
わり","proportion, divide, cut, separate"
身,N3,shin シン,mi み,"somebody, person"
費,N3,hi ヒ,tsui(yasu) つい(やす),"expense, consume"
付,N3,fu フ,tsu(keru) つ(ける),"adhere, attach, refer to, append"
由,N3,"yu
yuu ユ
ユウ","yoshi
yo(ru) よし
よ(る)","wherefore, a reason"
説,N3,"setsu
zei セツ
ゼイ",to(ku) と(く),"opinion, theory, explanation"
難,N3,nan ナン,"kata(i)
muzuka(shii)
niku(i) かた(い)
むずか(しい)
にく(い)","difficult, trouble, accident"
優,N3,"yuu
u ユウ
ウ","yasa(shii)
sugu(reru) やさ(しい)
すぐ(れる)","tenderness, kind, actor"
夫,N3,"fu
fuu フ
フウ",otto おっと,"husband, man"
収,N3,shuu シュウ,osa(meru) おさ(める),"income, obtain, reap, pay, supply, store"
断,N3,dan ダン,"ta(tsu)
kotowa(ru) た(つ)
ことわ(る)","severance, decline, refuse, apologize"
石,N3,"seki
shaku
koku セキ
シャク
コク",ishi いし,stone
違,N3,i イ,"chiga(u)
taga(u) ちが(う)
たが(う)","difference, differ"
消,N3,shou ショウ,"ki(eru)
ke(su) き(える)
け(す)","extinguish, turn off"
神,N3,"shin
jin シン
ジン",kami かみ,"gods, mind, soul"
番,N3,ban バン,tsugai つが(い),"turn, number in a series"
規,N3,ki キ,,"standard, measure"
術,N3,jutsu ジュツ,sube すべ,"art, technique, skill, means, trick"
備,N3,bi ビ,sona(eru) そな(える),"equip, provision, preparation"
宅,N3,taku タク,,"home, house, residence"
害,N3,gai ガイ,,"harm, injury"
配,N3,hai ハイ,kuba(ru) くば(る),"distribute, spouse"
警,N3,kei ケイ,,"admonish, commandment"
育,N3,iku イク,"soda(tsu)
haguku(mu) そだ(つ)
はぐく(む)","bring up, grow up, raise"
席,N3,seki セキ,mushiro むしろ,seat
訪,N3,hou ホウ,"toozu(reru)
tazu(neru) おとず(れる)
たず(ねる)","call on, visit"
乗,N3,"jou
shou ジョウ
ショウ",no(ru) の(る),ride
残,N3,zan ザン,noko(ru) のこ(る),"remainder, balance"
想,N3,"sou
so ソウ
ソ",omo(u) おも(う),"concept, think, idea"
声,N3,"sei
shou セイ
ショウ",koe こえ,voice
助,N3,jo ジョ,tasu(keru) たす(ける),"help, rescue, assist"
労,N3,rou ロウ,"rou(suru)
itawa(ru)
negira(u) ろう(する)
いたわ(る)
ねぎら(う)","labor, thank for"
例,N3,rei レイ,tato(eba) たと(えば),example
然,N3,"zen
nen ゼン
ネン","shika
sa しか
さ","sort of thing, if so"
限,N3,gen ゲン,kagi(ru) かぎ(る),"limit, restrict"
追,N3,tsui ツイ,o(u) お(う),"chase, drive away"
商,N3,shou ショウ,akina(u) あきな(う),deal; selling; merchant
葉,N3,you ヨウ,ha は,"leaf, plane, needle, blade, counter for flat things"
伝,N3,den デン,tsuta(waru) つた(わる),"transmit, go along, walk along, follow, report, communicate, legend, tradition"
働,N3,dou ドウ,hatara(ku) はたら(く),work
形,N3,"kei
gyou ケイ
ギョウ","kata
katachi
nari かた
かたち
なり","shape, form, style"
景,N3,"kei
ke ケイ
ケ",,"scenery, view"
落,N3,raku ラク,o(chiru) お(ちる),"fall, drop"
好,N3,kou コウ,"kono(mu)
su(ku) この(む)
す(く)","fond, pleasing, like something"
退,N3,tai タイ,"shirizo(ku)
hi(ku)
no(keru)
do(ku) しりぞ(く)
ひ(く)
の(ける)
ど(く)","retreat, withdraw, retire, resign, repel, expel, reject"
頭,N3,"tou
zu
to トウ
ズ
ト","atama
kashira あたま
かしら",head
負,N3,fu フ,"ma(keru)
o(u) ま(ける)
お(う)","defeat, negative, minus, assume a responsibility"
渡,N3,to ト,wata(ru) わた(る),"transit, ferry, cross"
失,N3,shitsu シツ,"ushina(u)
u(seru) うしな(う)
う(せる)","lose, error, fault, disadvantage, loss"
差,N3,sa サ,sa(su) さ(す),"distinction, difference, variation"
末,N3,matsu マツ,sue すえ,"end, close, tip"
守,N3,"shu
su シュ
ス","mamo(ru)
mori まも(る)
もり","guard, protect, obey"
若,N3,jaku ジャク,"waka(i)
mo(shi) わか(い)
も(し)",young
種,N3,shu シュ,"tane
-gusa たね
-ぐさ","species, kind, class, seed"
美,N3,"bi
mi ビ
ミ",utsukushii うつく(しい),"beauty, beautiful"
命,N3,"mei
myou メイ
ミョウ",inochi いのち,"fate, command"
福,N3,fuku フク,,"blessing, fortune, luck, wealth"
望,N3,bou ボウ,"nozo(mu)
mochi のぞ(む)
もち","ambition, full moon, hope, desire, aspire to, expect"
非,N3,hi ヒ,ara(zu) あら(ず),"un-, mistake, negative"
観,N3,kan カン,mi(ru) み(る),"outlook, appearance, condition"
察,N3,satsu サツ,,"guess, presume, judge"
段,N3,dan ダン,,"grade, steps, stairs"
横,N3,ou オウ,yoko よこ,"sideways, side"
深,N3,shin シン,fuka(i) ふか(い),"deep, heighten"
申,N3,shin シン,"mou(su)
saru もう(す)
さる",have the honor to
様,N3,you ヨウ,"sama
san さま
さん","manner, situation, polite suffix"
財,N3,"zai
sai
zoku ザイ
サイ
ゾク",,"property, money, wealth, assets"
港,N3,kou コウ,minato みなと,"harbor, port"
識,N3,shiki シキ,shi(ru) し(る),know
呼,N3,ko コ,yo(bu) よ(ぶ),"call, invite"
達,N3,"tatsu
da タツ
ダ",-tachi -たち,"accomplished, reach, arrive, attain"
良,N3,ryou リョウ,"yo(i)
i(i) よ(い)
い(い)",good
阪,N3,han ハン,saka さか,"heights, slope"
候,N3,kou コウ,sourou そうろう,"climate, season, weather"
程,N3,tei テイ,hodo ほど,"extent, degree"
満,N3,man マン,mi(chiru) み(ちる),"full, fullness, enough, satisfy"
敗,N3,hai ハイ,yabu(reru) やぶ(れる),"failure, defeat"
値,N3,chi チ,"ne
atai ね
あたい","price, cost, value"
突,N3,"totsu
ka トツ
カ",tsu(ku) つ(く),"stab, protruding, thrust"
光,N3,kou コウ,"hika(ru)
hikari ひか(る)
ひかり","ray, light"
路,N3,"ro
ru ロ
ル",michi みち,"path, route, road"
科,N3,ka カ,,"department, course, section"
積,N3,seki セキ,tsu(mu) つ(む),"volume, contents, pile up, stack"
他,N3,ta タ,hoka ほか,"other, another"
処,N3,sho ショ,,"dispose, manage, deal with"
太,N3,"tai
ta タイ
タ",futo(i) ふと(い),"plump, thick, big around"
客,N3,"kyaku
kaku キャク
カク",,"guest, visitor, customer"
否,N3,hi ヒ,"ina
iya いな
いや","negate, no, decline"
師,N3,shi シ,,"expert, teacher, master"
登,N3,"tou
to トウ
ト","nobo(ru)
a(garu) のぼ(る)
あ(がる)","ascend, climb up"
易,N3,"eki
i エキ
イ","yasa(shii)
yasu(i) やさ(しい)
やす(い)","easy, ready to, simple"
速,N3,soku ソク,haya(i) はや(い),"quick, fast"
存,N3,"son
zon ソン
ゾン",,"exist, be aware of"
飛,N3,hi ヒ,to(bu) と(ぶ),fly
殺,N3,"satsu
sai サツ
サイ",koro(su) ころ(す),"kill, murder"
号,N3,gou ゴウ,,"number, item"
単,N3,tan タン,hitoe ひとえ,"simple, single"
座,N3,za ザ,suwa(ru) すわ(る),"squat, seat, sit"
破,N3,ha ハ,yabu(ru) やぶ(る),"rip, tear, break"
除,N3,"jo
ji ジョ
ジ",nozo(ku) のぞ(く),"exclude, remove"
完,N3,kan カン,,"perfect, completion"
降,N3,"kou
go コウ
ゴ","o(riru)
fu(ru) お(りる)
ふ(る)","descend, precipitate, fall, surrender"
責,N3,seki セキ,se(meru) せ(める),"blame, condemn"
捕,N3,ho ホ,"to(raeru)
tsuka(maeru) と(らえる)
つか(まえる)","catch, capture"
危,N3,ki キ,"abu(nai)
aya(ui) あぶ(ない)
あや(うい)","dangerous, fear, uneasy"
給,N3,kyuu キュウ,"tama(u)
tamo(u) たま(う)
たも(う)","salary, wage, gift"
苦,N3,ku ク,"kuru(shii)
niga(i) くる(しい)
にが(い)","suffering, bitter"
迎,N3,gei ゲイ,muka(eru) むか(える),"welcome, meet, greet"
園,N3,en エン,sono その,"park, garden, yard"
具,N3,gu グ,"sona(eru)
tsubasa(ni) そな(える)
つぶさ(に)","tool, utensil"
辞,N3,ji ジ,ya(meru) や(める),"resign, word, term"
因,N3,in イン,"yo(ru)
china(mu) よ(る)
ちな(む)","cause, factor, depend on"
馬,N3,ba バ,uma うま,horse
愛,N3,ai アイ,"ito(shii)
mana いと(しい)
まな","love, affection"
富,N3,"fu
fuu フ
フウ","to(mu)
tomi と(む)
とみ","wealth, enrich, abundant"
彼,N3,hi ヒ,"kare
kano かれ
かの","he, him"
未,N3,"mi
bi ミ
ビ","ima(da)
ma(da) いま(だ)
ま(だ)","un-, not yet"
舞,N3,bu ブ,"ma(u)
mai ま(う)
まい","dance, circle"
亡,N3,"bou
mou ボウ
モウ",na(kunaru) な(くなる),"deceased, dying"
冷,N3,rei レイ,"tsume(tai)
hi(eru)
sa(meru) つめ(たい)
ひ(える)
さ(める)","cool, cold, chill"
適,N3,teki テキ,kana(u) かな(う),"suitable, occasional, rare"
婦,N3,fu フ,yome よめ,"lady, woman, wife"
寄,N3,ki キ,yo(ru) よ(る),"draw near, gather"
込,N3,,ko(mu) こ(む),"crowded, mixture"
顔,N3,gan ガン,kao かお,"face, expression"
類,N3,rui ルイ,tagu(i) たぐ(い),"sort, kind, variety, class, genus"
余,N3,yo ヨ,ama(ru) あま(る),"too much, surplus"
王,N3,ou オウ,,"king, rule"
返,N3,hen ヘン,kae(su) かえ(す),"return, answer"
妻,N3,sai サイ,tsuma つま,"wife, spouse"
背,N3,hai ハイ,"se
sei せ
せい","stature, height, back"
熱,N3,netsu ネツ,atsu(i) あつ(い),"heat, fever, passion"
宿,N3,shuku シュク,yado やど,"inn, lodging"
薬,N3,yaku ヤク,kusuri くすり,"medicine, chemical"
険,N3,ken ケン,kewa(shii) けわ(しい),"precipitous, inaccessible place"
頼,N3,rai ライ,"tano(mu)
tayo(ru) たの(む)
たよ(る)","trust, request"
覚,N3,kaku カク,"obo(eru)
sa(masu) おぼ(える)
さ(ます)","memorize, learn, remember, awake"
船,N3,sen セン,"fune
funa ふね
ふな","ship, boat"
途,N3,to ト,michi みち,"route, way, road"
許,N3,kyo キョ,yuru(su) ゆる(す),"permit, approve"
抜,N3,batsu バツ,nu(ku) ぬ(く),"slip out, extract, pull out, remove"
便,N3,"ben
bin ベン
ビン",tayo(ri) たよ(り),"convenience, facility"
留,N3,"ryuu
ru リュウ
ル","to(maru)
todo(meru) と(まる)
とど(める)","detain, fasten, halt, stop"
罪,N3,zai ザイ,tsumi つみ,"guilt, sin, crime"
努,N3,do ド,tsuto(meru) つと(める),"toil, diligent, as much as possible"
精,N3,"sei
shou セイ
ショウ",shira(geru) しら(げる),"refined, ghost, fairy, energy"
散,N3,san サン,"chi(ru)
bara(keru) ち(る)
ばら(ける)","scatter, disperse"
静,N3,"sei
jou セイ
ジョウ",shizu(ka) しず(か),quiet
婚,N3,kon コン,,marriage
喜,N3,ki キ,yoroko(bu) よろこ(ぶ),"rejoice, take pleasure in"
浮,N3,fu フ,u(kabu) う(かぶ),"float, rise to surface"
絶,N3,zetsu ゼツ,ta(eru) た(える),"discontinue, unparalleled"
幸,N3,kou コウ,"saiwa(i)
sara
shiawa(se) さいわ(い)
さち
しあわ(せ)","happiness, blessing, fortune"
押,N3,ou オウ,o(su) お(す),push
倒,N3,tou トウ,tao(reru) たお(れる),"overthrow, fall, collapse"
等,N3,tou トウ,"hito(shii)
nado ひと(しい)
など","etc., and so forth"
老,N3,rou ロウ,"o(iru)
fu(keru) お(いる)
ふ(ける)",old
曲,N3,kyoku キョク,ma(garu) ま(がる),"bend, music, melody"
払,N3,,hara(u) はら(う),pay
庭,N3,tei テイ,niwa にわ,"courtyard, garden, yard"
徒,N3,to ト,"itazura
ada いたずら
あだ","on foot, junior, vanity, futility, uselessness"
勤,N3,"kin
gon キン
ゴン",tsuto(meru) つと(める),"diligence, employed, serve"
遅,N3,chi チ,"oku(reru)
oso(i) おく(れる)
おそ(い)","slow, late, back, later"
居,N3,"kyo
ko キョ
コ","i(ru)
o(ru) い(る)
お(る)","reside, to be, exist"
雑,N3,"zatsu
zou ザツ
ゾウ",maji(ru) まじ(る),miscellaneous
招,N3,shou ショウ,mane(ku) まね(く),"invite, summon, engage"
困,N3,kon コン,koma(ru) こま(る),"quandary, become distressed"
欠,N3,"ketsu
ken ケツ
ケン",ka(keru) か(ける),"lack, gap"
更,N3,kou コウ,"sara(ni)
fu(keru) さら(に)
ふ(ける)","renew, renovate, again"
刻,N3,koku コク,kiza(mu) きざ(む),"engrave, cut fine, chop"
賛,N3,san サン,,"approve, praise"
抱,N3,hou ホウ,"da(ku)
ida(ku)
kaka(eru) だ(く)
いだ(く)
かか(える)","embrace, hug"
犯,N3,han ハン,oka(su) おか(す),"crime, sin, offense"
恐,N3,kyou キョウ,"oso(reru)
kowa(i) おそ(れる)
こわ(い)","fear, dread"
息,N3,"musu
soku ムス
ソク",iki いき,"breath, son, interest (on money)"
遠,N3,"en
on エン",too(i) とお(い),"distant, far"
戻,N3,rei レイ,modo(ru) もど(る),"re-, return, revert"
願,N3,gan ガン,nega(u) ねが(う),"petition, request, wish"
絵,N3,"kai
e カイ
エ",,"picture, drawing"
