ID,Kanji JLPT,Level JLPT,Kanji Kanken,Level Kanken
390,路,N3,路,Cấp 8
391,追 ,N3,追,Cấp 8
392,突 ,N3,突,Cấp 4
393,転 ,N3,転,Cấp 8
394,倒,N3,倒,Cấp 4
395,位,N3,位,Cấp 7
396,置,N3,置,Cấp 7
397,横,N3,横,Cấp 8
398,央,N3,央,Cấp 8
399,直,N3,直,Cấp 9
400,線,N3,線,Cấp 9
401,逆,N3,逆,Cấp 6
402,側,N3,側,Cấp 7
403,注,N3,注,Cấp 8
404,意,N3,意,Cấp 8
405,橋,N3,橋,Cấp 8
406,進,N3,進,Cấp 8
407,戦,N3,戦,Cấp 7
408,決,N3,決,Cấp 8
409,勝,N3,勝,Cấp 8
410,負,N3,負,Cấp 8
411,代,N3,代,Cấp 8
412,表,N3,表,Cấp 8
413,第,N3,第,Cấp 8
414,回,N3,回,Cấp 9
415,記,N3,記,Cấp 9
416,録,N3,録,Cấp 7
417,優,N3,優,Cấp 5
418,賞,N3,賞,Cấp 6
419,秒,N3,秒,Cấp 8
420,差,N3,差,Cấp 7
421,測,N3,測,Cấp 6
422,順,N3,順,Cấp 7
423,球,N3,球,Cấp 8
424,打,N3,打,Cấp 8
425,投,N3,投,Cấp 8
426,点,N3,点,Cấp 9
427,感,N3,感,Cấp 8
428,情,N3,情,Cấp 6
429,恋,N3,恋,Cấp 4
430,愛,N3,愛,Cấp 7
431,信,N3,信,Cấp 7
432,想,N3,想,Cấp 8
433,伝,N3,伝,Cấp 7
434,欲,N3,欲,Cấp 5
435,苦,N3,苦,Cấp 8
436,悩,N3,悩,Cấp 4
437,困,N3,困,Cấp 5
438,難,N3,難,Cấp 5
439,怒,N3,怒,Cấp 4
440,悲,N3,悲,Cấp 8
441,笑,N3,笑,Cấp 7
442,喜,N3,喜,Cấp 6
443,残,N3,残,Cấp 7
444,念,N3,念,Cấp 7
445,泣,N3,泣,Cấp 7
446,涙,N3,涙,Cấp 4
447,結,N3,結,Cấp 7
448,婚,N3,婚,Cấp 4
449,紹,N3,紹,Cấp 4
450,介,N3,介,Cấp 4
451,独,N3,独,Cấp 6
452,身,N3,身,Cấp 8
453,貯,N3,貯,Cấp 6
454,期,N3,期,Cấp 8
455,約,N3,約,Cấp 7
456,束,N3,束,Cấp 7
457,必,N3,必,Cấp 7
458,守,N3,守,Cấp 8
459,式,N3,式,Cấp 8
460,列,N3,列,Cấp 8
461,祝,N3,祝,Cấp 7
462,酔,N3,酔,Cấp 3
463,永,N3,永,Cấp 6
464,願,N3,願,Cấp 7
465,幸,N3,幸,Cấp 8
466,福,N3,福,Cấp 8
467,関,N3,関,Cấp 7
468,係,N3,係,Cấp 8
469,和,N3,和,Cấp 8
470,付,N3,付,Cấp 7
471,娘,N3,娘,Cấp 4
472,老,N3,老,Cấp 7
473,婦,N3,婦,Cấp 6
474,姓,N3,姓,Cấp 4
475,仲,N3,仲,Cấp 7
476,君,N3,君,Cấp 8
477,彼,N3,彼,Cấp 4
478,他,N3,他,Cấp 8
479,初,N3,初,Cấp 7
480,再,N3,再,Cấp 6
481,久,N3,久,Cấp 6
482,達,N3,達,Cấp 7
483,個,N3,個,Cấp 6
484,性,N3,性,Cấp 6
485,各,N3,各,Cấp 7
486,格,N3,格,Cấp 6
487,幼,N3,幼,Cấp 5
488,児,N3,児,Cấp 7
489,童,N3,童,Cấp 8
490,徒,N3,徒,Cấp 7
491,担,N3,担,Cấp 5
492,任,N3,任,Cấp 6
493,師,N3,師,Cấp 6
494,組,N3,組,Cấp 9
495,机,N3,机,Cấp 5
496,座,N3,座,Cấp 5
497,板,N3,板,Cấp 8
498,筆,N3,筆,Cấp 8
499,政,N3,政,Cấp 6
500,治,N3,治,Cấp 7
501,経,N3,経,Cấp 6
502,済,N3,済,Cấp 5
503,具,N3,具,Cấp 8
504,箱,N3,箱,Cấp 8
505,棒,N3,棒,Cấp 5
506,伸,N3,伸,Cấp 3
507,希,N3,希,Cấp 7
508,望,N3,望,Cấp 7
509,夢,N3,夢,Cấp 6
510,的,N3,的,Cấp 7
511,可,N3,可,Cấp 6
512,能,N3,能,Cấp 6
513,調,N3,調,Cấp 8
514,選,N3,選,Cấp 7
515,面,N3,面,Cấp 8
516,接,N3,接,Cấp 6
517,受,N3,受,Cấp 8
518,落,N3,落,Cấp 8
519,倍,N3,倍,Cấp 8
520,率,N3,率,Cấp 6
521,平,N3,平,Cấp 8
522,均,N3,均,Cấp 6
523,成,N3,成,Cấp 7
524,績,N3,績,Cấp 6
525,良,N3,良,Cấp 7
526,悪,N3,悪,Cấp 8
527,授,N3,授,Cấp 6
528,業,N3,業,Cấp 8
529,級,N3,級,Cấp 8
530,卒,N3,卒,Cấp 7
531,欠,N3,欠,Cấp 7
532,席,N3,席,Cấp 7
533,由,N3,由,Cấp 8
534,訳,N3,訳,Cấp 5
535,例,N3,例,Cấp 7
536,易,N3,易,Cấp 6
537,解,N3,解,Cấp 6
538,説,N3,説,Cấp 7
539,覚,N3,覚,Cấp 7
540,忘,N3,忘,Cấp 5
541,努,N3,努,Cấp 7
542,続,N3,続,Cấp 7
543,要,N3,要,Cấp 7
544,復,N3,復,Cấp 6
545,補,N3,補,Cấp 5
546,効,N3,効,Cấp 6
547,種,N3,種,Cấp 7
548,類,N3,類,Cấp 7
549,存,N3,存,Cấp 5
550,在,N3,在,Cấp 6
551,陽,N3,陽,Cấp 8
552,巨,N3,巨,Cấp 4
553,氷,N3,氷,Cấp 8
554,河,N3,河,Cấp 6
555,季,N3,季,Cấp 7
556,候,N3,候,Cấp 7
557,暖,N3,暖,Cấp 5
558,流,N3,流,Cấp 8
559,形,N3,形,Cấp 9
560,底,N3,底,Cấp 7
561,深,N3,深,Cấp 8
562,浅,N3,浅,Cấp 7
563,島,N3,島,Cấp 8
564,陸,N3,陸,Cấp 7
565,岸,N3,岸,Cấp 8
566,坂,N3,坂,Cấp 8
567,準,N3,準,Cấp 6
568,備,N3,備,Cấp 6
569,迎,N3,迎,Cấp 4
570,変,N3,変,Cấp 7
571,飛,N3,飛,Cấp 7
572,移,N3,移,Cấp 6
573,登,N3,登,Cấp 8
574,泊,N3,泊,Cấp 4
575,団,N3,団,Cấp 6
576,程,N3,程,Cấp 6
577,欧,N3,欧,Cấp 3
578,州,N3,州,Cấp 8
579,観,N3,観,Cấp 7
580,舟,N3,舟,Cấp 4
581,芸,N3,芸,Cấp 7
582,演,N3,演,Cấp 6
583,仏,N3,仏,Cấp 6
584,神,N3,神,Cấp 8
585,祭,N3,祭,Cấp 8
586,絵,N3,絵,Cấp 9
587,押,N3,押,Cấp 4
588,引,N3,引,Cấp 9
589,取,N3,取,Cấp 8
590,消,N3,消,Cấp 8
591,戸,N3,戸,Cấp 9
592,窓,N3,窓,Cấp 5
593,階,N3,階,Cấp 8
594,段,N3,段,Cấp 5
595,植,N3,植,Cấp 8
596,葉,N3,葉,Cấp 8
597,実,N3,実,Cấp 8
598,根,N3,根,Cấp 8
599,建,N3,建,Cấp 7
600,築,N3,築,Cấp 6
601,構,N3,構,Cấp 6
602,造,N3,造,Cấp 6
603,設,N3,設,Cấp 6
604,柱,N3,柱,Cấp 8
605,庫,N3,庫,Cấp 8
606,向,N3,向,Cấp 8
607,仕,N3,仕,Cấp 8
608,職,N3,職,Cấp 6
609,求,N3,求,Cấp 7
610,探,N3,探,Cấp 5
611,常,N3,常,Cấp 6
612,識,N3,識,Cấp 6
613,失,N3,失,Cấp 7
614,礼,N3,礼,Cấp 8
615,労,N3,労,Cấp 7
616,員,N3,員,Cấp 8
617,官,N3,官,Cấp 7
618,局,N3,局,Cấp 8
619,辞,N3,辞,Cấp 7
620,退,N3,退,Cấp 5
621,積,N3,積,Cấp 7
622,給,N3,給,Cấp 7
623,収,N3,収,Cấp 5
624,支,N3,支,Cấp 6
625,厚,N3,厚,Cấp 6
626,議,N3,議,Cấp 7
627,賛,N3,賛,Cấp 6
628,反,N3,反,Cấp 8
629,対,N3,対,Cấp 8
630,肯,N3,肯,Tiền cấp 2
631,否,N3,否,Cấp 5
632,保,N3,保,Cấp 6
633,留,N3,留,Cấp 6
634,判,N3,判,Cấp 6
635,断,N3,断,Cấp 6
636,確,N3,確,Cấp 6
637,認,N3,認,Cấp 5
638,報,N3,報,Cấp 6
639,告,N3,告,Cấp 6
640,連,N3,連,Cấp 7
641,絡,N3,絡,Cấp 4
642,相,N3,相,Cấp 8
643,談,N3,談,Cấp 8
644,指,N3,指,Cấp 8
645,示,N3,示,Cấp 6
646,最,N3,最,Cấp 7
647,副,N3,副,Cấp 7
648,管,N3,管,Cấp 7
649,者,N3,者,Cấp 8
650,現,N3,現,Cấp 6
651,旧,N3,旧,Cấp 6
652,昔,N3,昔,Cấp 8
653,次,N3,次,Cấp 8
654,費,N3,費,Cấp 6
655,算,N3,算,Cấp 9
656,供,N3,供,Cấp 5
657,税,N3,税,Cấp 6
658,機,N3,機,Cấp 7
659,械,N3,械,Cấp 7
660,危,N3,危,Cấp 5
661,険,N3,険,Cấp 6
662,技,N3,技,Cấp 6
663,術,N3,術,Cấp 6
664,貿,N3,貿,Cấp 6
665,商,N3,商,Cấp 8
666,単,N3,単,Cấp 7
667,複,N3,複,Cấp 6
668,全,N3,全,Cấp 8
669,以,N3,以,Cấp 7
670,未,N3,未,Cấp 7
671,満,N3,満,Cấp 7
672,無,N3,無,Cấp 7
673,非,N3,非,Cấp 6
674,億,N3,億,Cấp 7
675,兆,N3,兆,Cấp 7
676,贈,N2,贈,Cấp 4
677,渡,N2,渡,Cấp 4
678,配,N2,配,Cấp 8
679,届,N2,届,Cấp 5
680,招,N2,招,Cấp 6
681,券,N2,券,Cấp 5
682,丼,N2,丼,Cấp 2
683,汁,N2,汁,Tiền cấp 2
684,盛,N2,盛,Cấp 5
685,混,N2,混,Cấp 6
686,溶,N2,溶,Cấp 4
687,含,N2,含,Cấp 4
688,越,N2,越,Cấp 4
689,契,N2,契,Cấp 3
690,賃,N2,賃,Cấp 5
691,仮,N2,仮,Cấp 6
692,証,N2,証,Cấp 6
693,域,N2,域,Cấp 5
694,雑,N2,雑,Cấp 6
695,誌,N2,誌,Cấp 5
696,刊,N2,刊,Cấp 6
697,著,N2,著,Cấp 5
698,巻,N2,巻,Cấp 5
699,並,N2,並,Cấp 5
700,清,N2,清,Cấp 7
701,掃,N2,掃,Cấp 3
702,整,N2,整,Cấp 8
703,汚,N2,汚,Cấp 4
704,庭,N2,庭,Cấp 8
705,居,N2,居,Cấp 6
706,駐,N2,駐,Cấp 3
707,輪,N2,輪,Cấp 7
708,港,N2,港,Cấp 8
709,到,N2,到,Cấp 4
710,途,N2,途,Cấp 4
711,過,N2,過,Cấp 6
712,符,N2,符,Cấp 3
713,停,N2,停,Cấp 6
714,標,N2,標,Cấp 7
715,普,N2,普,Cấp 4
716,刻,N2,刻,Cấp 5
717,違,N2,違,Cấp 4
718,漁,N2,漁,Cấp 7
719,輸,N2,輸,Cấp 6
720,製,N2,製,Cấp 6
721,郵,N2,郵,Cấp 5
722,航,N2,航,Cấp 6
723,融,N2,融,Tiền cấp 2
724,戻,N2,戻,Tiền cấp 2
725,換,N2,換,Cấp 3
726,払,N2,払,Cấp 4
727,込,N2,込,Cấp 4
728,両,N2,両,Cấp 8
729,替,N2,替,Cấp 4
730,照,N2,照,Cấp 7
731,預,N2,預,Cấp 5
732,札,N2,札,Cấp 7
733,貨,N2,貨,Cấp 7
734,帳,N2,帳,Cấp 8
735,振,N2,振,Cấp 4
736,俳,N2,俳,Cấp 5
737,句,N2,句,Cấp 6
738,展,N2,展,Cấp 5
739,覧,N2,覧,Cấp 5
740,詩,N2,詩,Cấp 8
741,詞,N2,詞,Cấp 5
742,劇,N2,劇,Cấp 5
743,舞,N2,舞,Cấp 4
744,布,N2,布,Cấp 6
745,堂,N2,堂,Cấp 6
746,宗,N2,宗,Cấp 5
747,刀,N2,刀,Cấp 9
748,脱,N2,脱,Cấp 4
749,掛,N2,掛,Cấp 3
750,姿,N2,姿,Cấp 5
751,勢,N2,勢,Cấp 6
752,柔,N2,柔,Cấp 4
753,軟,N2,軟,Tiền cấp 2
754,固,N2,固,Cấp 7
755,純,N2,純,Cấp 5
756,快,N2,快,Cấp 6
757,甘,N2,甘,Cấp 4
758,濃,N2,濃,Cấp 4
759,薄,N2,薄,Cấp 4
760,宝,N2,宝,Cấp 5
761,城,N2,城,Cấp 7
762,栄,N2,栄,Cấp 7
763,蔵,N2,蔵,Cấp 5
764,昭,N2,昭,Cấp 8
765,士,N2,士,Cấp 6
766,健,N2,健,Cấp 7
767,康,N2,康,Cấp 7
768,診,N2,診,Tiền cấp 2
769,療,N2,療,Cấp 4
770,命,N2,命,Cấp 8
771,異,N2,異,Cấp 5
772,背,N2,背,Cấp 5
773,腹,N2,腹,Cấp 5
774,肩,N2,肩,Cấp 4
775,腕,N2,腕,Cấp 4
776,胸,N2,胸,Cấp 5
777,腰,N2,腰,Cấp 4
778,脳,N2,脳,Cấp 5
779,臓,N2,臓,Cấp 5
780,胃,N2,胃,Cấp 5
781,筋,N2,筋,Cấp 5
782,骨,N2,骨,Cấp 5
783,節,N2,節,Cấp 7
784,症,N2,症,Tiền cấp 2
785,状,N2,状,Cấp 6
786,因,N2,因,Cấp 6
787,況,N2,況,Cấp 4
788,態,N2,態,Cấp 6
789,圧,N2,圧,Cấp 6
790,傷,N2,傷,Cấp 5
791,処,N2,処,Cấp 5
792,触,N2,触,Cấp 4
793,針,N2,針,Cấp 5
794,抜,N2,抜,Cấp 4
795,皮,N2,皮,Cấp 8
796,忙,N2,忙,Cấp 4
797,疲,N2,疲,Cấp 4
798,慣,N2,慣,Cấp 6
799,競,N2,競,Cấp 7
800,養,N2,養,Cấp 7
801,兼,N2,兼,Cấp 4
802,就,N2,就,Cấp 5
803,従,N2,従,Cấp 5
804,応,N2,応,Cấp 6
805,訪,N2,訪,Cấp 5
806,課,N2,課,Cấp 7
807,論,N2,論,Cấp 5
808,採,N2,採,Cấp 6
809,募,N2,募,Cấp 3
810,雇,N2,雇,Cấp 3
811,適,N2,適,Cấp 6
812,般,N2,般,Cấp 4
813,総,N2,総,Cấp 6
814,企,N2,企,Cấp 3
815,案,N2,案,Cấp 7
816,依,N2,依,Cấp 4
817,頼,N2,頼,Cấp 4
818,比,N2,比,Cấp 6
819,較,N2,較,Cấp 4
820,評,N2,評,Cấp 6
821,価,N2,価,Cấp 6
822,改,N2,改,Cấp 7
823,善,N2,善,Cấp 5
824,勤,N2,勤,Cấp 5
825,務,N2,務,Cấp 6
826,営,N2,営,Cấp 6
827,景,N2,景,Cấp 7
828,資,N2,資,Cấp 6
